,Product,rentabilite,regions,Prix,Lien
2061,"                                 Réf : 15823. À 50m des plages,                             "," 3,23 ",                             Roquebrune-Cap-Martin (Provence-alpes-cote d'azur) ,380.000,https://www.labonnepierre.com/fr/r%C3%A9sidence-tourisme/nord-ouest/123218-ref-15823-a-50m-des-plages.html
2062,                                 T2 dans une résidence de caractère                             ," 3,23 ",                             Paris (Ile-de-france) ,250.000,https://www.labonnepierre.com/fr/appartement/ndf/74023-t2-dans-une-residence-de-caractere.html
2063,"                                 A moins de 20mn de POITIERS, Immeuble partiellement...                             "," 3,22 ",                             lavausseau (Poitou-charentes) ,91.400,https://www.labonnepierre.com/fr/immeuble/nord-ouest/122794-a-moins-de-20mn-de-poitiers-immeuble-partiellement-loue.html
2064,                                 LIBRE LE 20/03/2020 - QUAIS DE SAONE T1                             ," 3,20 ",                             Lyon 1er arrondissement (Rhone-alpes) ,195.000,https://www.labonnepierre.com/fr/appartement/nord-ouest/103348-libre-le-20-03-2020-quais-de-saone-t1.html
2065,                                 VILLA La Seyne sur Mer quartier Fabre                             ," 3,20 ",                             La Ciotat (Provence-alpes-cote d'azur) ,475.000,https://www.labonnepierre.com/fr/maison/nord-ouest/111131-villa-la-seyne-sur-mer-quartier-fabre.html
2066,                                 La Seyne sur Mer quartier Fabre                             ," 3,20 ",                             La Seyne-sur-Mer (Provence-alpes-cote d'azur) ,475.000,https://www.labonnepierre.com/fr/maison/nord-ouest/113243-la-seyne-sur-mer-quartier-fabre.html
2067,                                 Immeuble de rapport                             ," 3,19 ",                             avallon (Bourgogne) ,176.550,https://www.labonnepierre.com/fr/immeuble/nord-ouest/121863-immeuble-de-rapport.html
2068,"                                 Maison en pierres, local commercial en ro...                             "," 3,19 ",                             Paimpol (Bretagne) ,301.020,https://www.labonnepierre.com/fr/maison/nord-ouest/101985-maison-en-pierres-local-commercial-en-roc.html
2069,                                 Ensemble immobilier                             ," 3,17 ",                             Muret (Midi-pyrenees) ,945.000,https://www.labonnepierre.com/fr/immeuble/nord-ouest/117631-ensemble-immobilier.html
2070,"                                 T2 Rue Pajol (18ème), au pied du Marché de...                             "," 3,17 ",                             Paris 18eme arrondissement (Ile-de-france) ,599.000,https://www.labonnepierre.com/fr/appartement/nord-ouest/106820-t2-rue-pajol-18eme-au-pied-du-marche-de-l-olive.html
2071,                                 Immeuble bel emplacement                             ," 3,16 ",                             Boulogne-sur-Mer (Nord-pas-de-calais) ,432.600,https://www.labonnepierre.com/fr/immeuble/nord-ouest/117615-immeuble-bel-emplacement.html
2072,                                 RARE EDF/LACROIX Villa T4 contemporaine                             ," 3,15 ",                             NARBONNE (Languedoc-roussillon) ,419.000,https://www.labonnepierre.com/fr/maison/ndf/117273-rare-edf-lacroix-villa-t4-contemporaine.html
2073,"                                 ALBAN, grande MAISON aux volumes                             "," 3,12 ",                             alban (Midi-pyrenees) ,173.000,https://www.labonnepierre.com/fr/maison/nord-ouest/116740-alban-grande-maison-aux-volumes.html
2074,                                 T3 meublé Investissement Loi Censi Bouvar...                             ," 3,12 ",                             Espaly-Saint-Marcel (Auvergne) ,177.000,https://www.labonnepierre.com/fr/r%C3%A9sidence-s%C3%A9nior/nord-ouest/103339-t3-meuble-investissement-loi-censi-bouvard.html
2075,"                                 Dans un secteur de choix, quartier Kruten...                             "," 3,09 ",                             Strasbourg (Alsace) ,231.713,https://www.labonnepierre.com/fr/appartement/nord-ouest/77248-dans-un-secteur-de-choix-quartier-krutenau.html
2076,                                 F2 Secteur recherché                             ," 3,08 ",                             Paris (Ile-de-france) ,300.000,https://www.labonnepierre.com/fr/appartement/ndf/96406-f2-secteur-recherche.html
2077,                                 maison de village                             ," 3,06 ",                             Saint-Etienne-de-Cuines (Rhone-alpes) ,145.000,https://www.labonnepierre.com/fr/maison/nord-ouest/119058-maison-de-village.html
