,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
149,[],48.8675804,2.3524475,Edgar,48.868114,2.34996,Brasserie
150,[],48.8675804,2.3524475,Le 123 Sébastopol,48.86758494974488,2.3533225471432093,Hotel
151,[],48.8675804,2.3524475,Bon Esprit - Craft Beers & Good Spirits,48.867862,2.355034,Bar
152,[],48.8675804,2.3524475,Player One,48.86827151555633,2.3520391434431076,Bar
153,[],48.8675804,2.3524475,Ma Cave Fleury,48.86550541020573,2.350544335615611,Wine Bar
154,[],48.8675804,2.3524475,Klay,48.86603925843629,2.349655788942288,Gym / Fitness Center
155,[],48.8675804,2.3524475,Ristorante National - Cucina Italiana,48.86598251248973,2.353209296590737,Italian Restaurant
156,[],48.8675804,2.3524475,Itacoa,48.866077,2.3508124,Restaurant
157,[],48.8565526,2.3690147,Moonshiner,48.85569754757345,2.371200174093246,Cocktail Bar
158,[],48.8565526,2.3690147,Marché Bastille,48.856029201501194,2.3703046826319336,Market
159,[],48.8565526,2.3690147,Chez Janou,48.85664435397839,2.36724340761729,Provençal Restaurant
160,[],48.8565526,2.3690147,Fragments,48.857915242206175,2.367343778624903,Coffee Shop
161,[],48.8565526,2.3690147,Da Vito,48.855669035336284,2.371230348944664,Pizza Place
162,[],48.8565526,2.3690147,Hôtel Pavillon de la Reine,48.856386591661504,2.366008934683876,Hotel
163,[],48.8565526,2.3690147,Amici Miei,48.858185825719055,2.3693642020225525,Pizza Place
164,[],48.8565526,2.3690147,Soon Grill,48.85803022288597,2.3672990336188424,Korean Restaurant
165,[],48.8565526,2.3690147,La Moustache Blanche,48.85452477876369,2.3673031736565684,Beer Store
166,[],48.8565526,2.3690147,Le Petit Marché,48.85725921677337,2.3662138652687053,French Restaurant
167,[],48.8612416,2.3398064,Cour Carrée du Louvre,48.8603598795578,2.3385429382324214,Pedestrian Plaza
168,[],48.8612416,2.3398064,Place du Louvre,48.859841,2.340822,Plaza
169,[],48.8612416,2.3398064,Le Fumoir,48.86042428799186,2.3408684134483337,Cocktail Bar
170,[],48.8612416,2.3398064,Christian Louboutin,48.86269669087095,2.3407570303733496,Shoe Store
171,[],48.8612416,2.3398064,La Vénus de Milo (Vénus de Milo),48.859943428504316,2.3372340202331543,Exhibit
172,[],48.8612416,2.3398064,La Régalade Saint-Honoré,48.861619829461404,2.3417487166534374,French Restaurant
173,[],48.8612416,2.3398064,Musée du Louvre,48.86084691113991,2.336440086364746,Art Museum
174,[],48.8612416,2.3398064,Boutique yam'Tcha,48.8617098431057,2.342380022000763,Chinese Restaurant
175,[],48.8612416,2.3398064,Église Saint-Germain-l'Auxerrois (Église Saint-Germain l'Auxerrois),48.859519915404825,2.3413056135177612,Church
176,[],48.8612416,2.3398064,Itacate,48.861405051345436,2.3424092076250274,Taco Place
177,[],48.8689405,2.3467031000000005,The Hoxton Paris,48.8701794,2.3466316,Hotel
178,[],48.8689405,2.3467031000000005,Hoppy Corner,48.86772619731469,2.3473745971313704,Beer Bar
179,[],48.8689405,2.3467031000000005,Lockwood,48.86772674428229,2.3469454610004647,Cocktail Bar
180,[],48.8689405,2.3467031000000005,L'Appartement Sézane,48.8695741819002,2.345060413685246,Women's Store
181,[],48.8689405,2.3467031000000005,Le Grand Rex,48.870470106609815,2.3476409912109375,Indie Movie Theater
182,[],48.8689405,2.3467031000000005,Frenchie Bar A Vins,48.86781182099964,2.3479165881872177,Wine Bar
183,[],48.8689405,2.3467031000000005,Le Distrait,48.869892,2.349226,Bar
184,[],48.8689405,2.3467031000000005,Boneshaker Doughnuts,48.86785725724388,2.347340691499821,Donut Shop
185,[],48.8689405,2.3467031000000005,La Boissonnière,48.869418597019404,2.3476892709732056,Bar
186,[],48.8689405,2.3467031000000005,Frenchie to Go,48.86769308541349,2.347740232944488,Sandwich Place
187,[],48.859086299999994,2.3793477000000003,Chez Aline,48.857042331138466,2.3786403545870995,Sandwich Place
188,[],48.859086299999994,2.3793477000000003,Monsieur Antoine,48.86036499418606,2.378295287489891,Cocktail Bar
189,[],48.859086299999994,2.3793477000000003,Ethiopia,48.860833,2.38,Ethiopian Restaurant
190,[],48.859086299999994,2.3793477000000003,Le Servan,48.86106256613868,2.3812439624603043,Bistro
191,[],48.859086299999994,2.3793477000000003,Monsieur Matthieu,48.86113302715583,2.3811437660366583,Wine Bar
192,[],48.859086299999994,2.3793477000000003,Comestibles & Marchand de Vins,48.861343,2.378424,Restaurant
193,[],48.859086299999994,2.3793477000000003,Atelier des Lumières,48.8616586199121,2.380911111831665,Art Museum
194,[],48.859086299999994,2.3793477000000003,Square Maurice Gardette,48.8617080278471,2.3790764808654785,Park
195,[],48.859086299999994,2.3793477000000003,Les Marcheurs de Planète,48.85656324291014,2.3772175953163353,Gastropub
196,[],48.859086299999994,2.3793477000000003,Broken Biscuits,48.859792,2.378764,Pastry Shop
197,[],48.859086299999994,2.3793477000000003,Chez Aline,48.857042331138466,2.3786403545870995,Sandwich Place
198,[],48.859086299999994,2.3793477000000003,Monsieur Antoine,48.86036499418606,2.378295287489891,Cocktail Bar
199,[],48.859086299999994,2.3793477000000003,Ethiopia,48.860833,2.38,Ethiopian Restaurant
200,[],48.859086299999994,2.3793477000000003,Le Servan,48.86106256613868,2.3812439624603043,Bistro
201,[],48.859086299999994,2.3793477000000003,Monsieur Matthieu,48.86113302715583,2.3811437660366583,Wine Bar
202,[],48.859086299999994,2.3793477000000003,Comestibles & Marchand de Vins,48.861343,2.378424,Restaurant
203,[],48.859086299999994,2.3793477000000003,Atelier des Lumières,48.8616586199121,2.380911111831665,Art Museum
204,[],48.859086299999994,2.3793477000000003,Square Maurice Gardette,48.8617080278471,2.3790764808654785,Park
205,[],48.859086299999994,2.3793477000000003,Les Marcheurs de Planète,48.85656324291014,2.3772175953163353,Gastropub
206,[],48.859086299999994,2.3793477000000003,Broken Biscuits,48.859792,2.378764,Pastry Shop
207,[],48.8760238,2.3581927000000005,Café A,48.87523561686296,2.360022095087153,Café
